"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US09011","New London County, Connecticut","262269","892","61596","2584","3499","852","1831","769","11283","1425","13772","1262","13976","1228","13116","1997","4119","997","200673","2586"
"0500000US09013","Tolland County, Connecticut","147845","761","48715","1893","1682","606","1514","548","4938","1055","6395","1052","7541","943","22775","1762","3870","1088","99130","1978"
"0500000US09015","Windham County, Connecticut","113437","454","28062","1653","1489","506","583","339","4793","1256","5950","1029","5208","1010","8434","1274","1605","727","85375","1553"
"0500000US10001","Kent County, Delaware","170378","1048","48634","2582","1973","1006","3698","1201","8154","1247","9561","1570","8206","781","13399","2082","3643","1042","121744","2459"
"0500000US10003","New Castle County, Delaware","541283","1611","143061","3819","9149","1414","6140","1498","27642","1981","28046","2145","27851","1654","35194","3103","9039","1688","398222","3617"
"0500000US10005","Sussex County, Delaware","217914","1127","41351","1617","2414","817","2409","762","8383","1426","11350","1253","9085","881","6646","1435","1064","529","176563","1615"
"0500000US11001","District of Columbia, District of Columbia","666887","1941","167649","5063","13119","1954","9551","1555","28102","2092","20475","2147","22217","1512","50096","3129","24089","2444","499238","4779"
"0500000US12001","Alachua County, Florida","259236","1235","93506","3917","4798","1059","3492","1042","9592","1480","9617","1477","10582","1367","43109","3566","12316","1951","165730","4082"
"0500000US12005","Bay County, Florida","176037","1022","40657","1699","2759","805","2096","808","7690","1357","9965","1570","8829","1033","7245","1236","2073","699","135380","1770"
"0500000US12009","Brevard County, Florida","573430","1724","126930","3684","8374","1611","5126","1603","22176","2190","26602","2182","28186","1764","28351","2944","8115","1855","446500","4298"
"0500000US54107","Wood County, West Virginia","82523","729","16839","1369","1313","513","1293","537","3001","691","4553","990","3775","495","2376","775","528","445","65684","1250"
"0500000US55009","Brown County, Wisconsin","252849","1077","65523","2031","3416","818","5346","1141","15311","1504","11926","1536","14221","1341","13276","1411","2027","619","187326","1935"
"0500000US55025","Dane County, Wisconsin","517752","1185","152871","3817","7645","1117","7310","1305","23090","1840","25278","2006","24533","1526","47279","3940","17736","2417","364881","3640"
"0500000US55027","Dodge County, Wisconsin","85710","361","19590","1008","1215","438","1103","386","3939","546","4475","600","4882","426","3422","798","554","231","66120","964"
"0500000US55035","Eau Claire County, Wisconsin","99693","865","29516","1593","1643","430","1610","580","4188","708","4317","750","4127","680","12725","1232","906","423","70177","1466"
"0500000US55039","Fond du Lac County, Wisconsin","99342","658","23923","1441","970","467","1567","640","4696","850","5457","791","5557","988","5034","1009","642","298","75419","1413"
"0500000US55055","Jefferson County, Wisconsin","81973","348","20048","915","973","362","789","275","3571","567","5018","722","4080","478","5185","955","432","216","61925","889"
"0500000US55059","Kenosha County, Wisconsin","163430","928","44402","1813","2669","733","2171","699","8751","847","8596","1050","10475","954","10241","1506","1499","523","119028","1849"
"0500000US55063","La Crosse County, Wisconsin","114522","658","34392","2070","885","433","751","342","5729","908","6398","875","4983","685","13515","1748","2131","763","80130","1980"
"0500000US55071","Manitowoc County, Wisconsin","76679","360","17356","874","998","353","445","212","3310","524","4824","688","3993","462","3347","601","439","263","59323","841"
"0500000US55073","Marathon County, Wisconsin","131011","590","31763","1176","2508","652","1568","437","6500","665","7487","706","6368","478","6387","1095","945","383","99248","1172"
"0500000US55079","Milwaukee County, Wisconsin","913056","1910","247177","4075","9872","1357","18780","2072","49714","2825","51823","2659","49292","2047","55206","3558","12490","1725","665879","4479"
"0500000US55087","Outagamie County, Wisconsin","178952","744","44363","1550","3415","666","1813","632","8711","1082","10690","1106","9973","868","7939","1192","1822","622","134589","1608"
"0500000US55089","Ozaukee County, Wisconsin","85574","353","21544","1432","1080","326","1157","468","3682","693","5090","698","4866","731","4128","1922","1541","717","64030","1499"
"0500000US55097","Portage County, Wisconsin","68056","424","19938","1264","718","289","825","315","2238","594","3357","660","3245","418","9063","1244","492","296","48118","1173"
"0500000US55101","Racine County, Wisconsin","187963","1076","45241","2042","2380","813","2575","813","9193","1315","11623","1377","10763","914","6692","1344","2015","817","142722","1999"
"0500000US55105","Rock County, Wisconsin","156546","722","39444","1274","2439","716","2141","751","9546","1122","7254","865","9640","1152","7561","1164","863","382","117102","1336"
"0500000US55109","St. Croix County, Wisconsin","85884","469","24194","1281","1277","436","1096","403","4468","715","6397","926","5952","518","4298","924","706","343","61690","1261"
"0500000US55117","Sheboygan County, Wisconsin","111857","565","27193","1642","1267","539","1416","549","6199","691","6324","643","6367","642","4478","1083","1142","605","84664","1600"
"0500000US55127","Walworth County, Wisconsin","99587","544","26909","1896","1367","600","1199","541","4418","748","4951","758","4910","727","9167","1731","897","404","72678","1920"
"0500000US55131","Washington County, Wisconsin","130607","659","29827","1077","2058","603","1496","541","6750","759","6583","941","7991","873","3684","795","1265","646","100780","1174"
"0500000US55133","Waukesha County, Wisconsin","388576","852","93410","2496","5976","1010","6007","941","18550","1388","19461","1340","22259","1106","17476","2133","3681","835","295166","2452"
"0500000US55139","Winnebago County, Wisconsin","164954","713","41857","1730","2568","703","2239","844","6969","1056","8185","937","8005","701","12650","1584","1241","523","123097","1880"
"0500000US55141","Wood County, Wisconsin","70589","416","15383","982","955","337","822","319","3690","642","3348","572","3582","394","2380","642","606","351","55206","950"
"0500000US56021","Laramie County, Wyoming","95257","604","23835","1418","1057","472","934","575","5890","912","5175","1016","4100","694","4725","1118","1954","741","71422","1492"
"0500000US56025","Natrona County, Wyoming","76370","544","19449","1516","1030","497","1605","546","3852","794","4164","687","4236","986","3571","946","991","563","56921","1575"
"0500000US72013","Arecibo Municipio, Puerto Rico","83976","655","19959","1722","1251","693","1515","845","3080","978","3751","1138","4147","601","5662","1296","553","407","64017","1517"
"0500000US72021","Bayamón Municipio, Puerto Rico","175056","713","41522","1872","3149","916","1440","676","7290","1221","7746","1393","8025","885","12883","1656","989","567","133534","2023"
"0500000US72025","Caguas Municipio, Puerto Rico","126097","979","30302","2093","866","548","1101","971","4500","1476","7676","1339","6341","909","9000","1940","818","503","95795","2184"
"0500000US72031","Carolina Municipio, Puerto Rico","150328","1003","37510","2229","1492","815","1294","848","7654","1125","6808","1181","6504","512","11163","1553","2595","1044","112818","2023"
"0500000US72061","Guaynabo Municipio, Puerto Rico","85640","713","20095","2084","1401","736","1485","1155","3059","1357","3491","1353","3064","681","7010","2206","585","452","65545","2193"
"0500000US72097","Mayagüez Municipio, Puerto Rico","74199","527","21959","1844","1023","519","505","382","3235","895","3045","1024","4703","942","7819","1398","1629","1440","52240","1859"
