"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US26025","Calhoun County, Michigan","134386","*****"
"0500000US26037","Clinton County, Michigan","77888","*****"
"0500000US26045","Eaton County, Michigan","109160","*****"
"0500000US26049","Genesee County, Michigan","408615","*****"
"0500000US26055","Grand Traverse County, Michigan","92084","*****"
"0500000US26065","Ingham County, Michigan","288051","*****"
"0500000US26073","Isabella County, Michigan","71282","*****"
"0500000US26075","Jackson County, Michigan","158460","*****"
"0500000US26077","Kalamazoo County, Michigan","261654","*****"
"0500000US26081","Kent County, Michigan","642173","*****"
"0500000US26087","Lapeer County, Michigan","88340","*****"
"0500000US26091","Lenawee County, Michigan","98504","*****"
"0500000US26093","Livingston County, Michigan","188624","*****"
"0500000US26099","Macomb County, Michigan","867730","*****"
"0500000US26103","Marquette County, Michigan","66435","*****"
"0500000US26111","Midland County, Michigan","83462","*****"
"0500000US26115","Monroe County, Michigan","149208","*****"
"0500000US26121","Muskegon County, Michigan","173408","*****"
"0500000US26125","Oakland County, Michigan","1243970","*****"
"0500000US26139","Ottawa County, Michigan","282250","*****"
"0500000US26145","Saginaw County, Michigan","192326","*****"
"0500000US26147","St. Clair County, Michigan","159587","*****"
"0500000US26155","Shiawassee County, Michigan","68554","*****"
"0500000US26159","Van Buren County, Michigan","75223","*****"
"0500000US26161","Washtenaw County, Michigan","364709","*****"
"0500000US26163","Wayne County, Michigan","1749366","*****"
"0500000US27003","Anoka County, Minnesota","345957","*****"
"0500000US27013","Blue Earth County, Minnesota","66441","*****"
"0500000US27019","Carver County, Minnesota","100262","*****"
"0500000US27037","Dakota County, Minnesota","417486","*****"
"0500000US27053","Hennepin County, Minnesota","1232483","*****"
"0500000US27109","Olmsted County, Minnesota","153102","*****"
"0500000US27123","Ramsey County, Minnesota","540649","*****"
"0500000US27131","Rice County, Minnesota","65622","*****"
"0500000US27137","St. Louis County, Minnesota","199980","*****"
"0500000US27139","Scott County, Minnesota","143680","*****"
"0500000US27141","Sherburne County, Minnesota","93528","*****"
"0500000US27145","Stearns County, Minnesota","155652","*****"
"0500000US27163","Washington County, Minnesota","253117","*****"
"0500000US27171","Wright County, Minnesota","132550","*****"
"0500000US28033","DeSoto County, Mississippi","175611","*****"
"0500000US28035","Forrest County, Mississippi","75979","*****"
"0500000US28047","Harrison County, Mississippi","203234","*****"
"0500000US28049","Hinds County, Mississippi","241229","*****"
"0500000US28059","Jackson County, Mississippi","141241","*****"
"0500000US28067","Jones County, Mississippi","67953","*****"
"0500000US28075","Lauderdale County, Mississippi","77755","*****"
"0500000US28081","Lee County, Mississippi","85381","*****"
"0500000US28089","Madison County, Mississippi","105114","*****"
"0500000US28121","Rankin County, Mississippi","150228","*****"
"0500000US29019","Boone County, Missouri","176594","*****"
"0500000US29021","Buchanan County, Missouri","88938","*****"
"0500000US29031","Cape Girardeau County, Missouri","78913","*****"
"0500000US29037","Cass County, Missouri","102845","*****"
"0500000US29043","Christian County, Missouri","84401","*****"
"0500000US29047","Clay County, Missouri","239085","*****"
"0500000US29051","Cole County, Missouri","76631","*****"
"0500000US29071","Franklin County, Missouri","102838","*****"
"0500000US29077","Greene County, Missouri","288690","*****"
"0500000US29095","Jackson County, Missouri","691801","*****"
"0500000US29097","Jasper County, Missouri","119111","*****"
"0500000US29099","Jefferson County, Missouri","224226","*****"
"0500000US29165","Platte County, Missouri","98309","*****"
"0500000US29183","St. Charles County, Missouri","390918","*****"
"0500000US29187","St. Francois County, Missouri","66627","*****"
"0500000US29189","St. Louis County, Missouri","998581","*****"
"0500000US29510","St. Louis city, Missouri","311404","*****"
"0500000US30013","Cascade County, Montana","81755","*****"
"0500000US30029","Flathead County, Montana","98082","*****"
"0500000US30031","Gallatin County, Montana","104502","*****"
"0500000US30049","Lewis and Clark County, Montana","67282","*****"
"0500000US30063","Missoula County, Montana","116130","*****"
"0500000US30111","Yellowstone County, Montana","158437","*****"
"0500000US31055","Douglas County, Nebraska","554995","*****"
"0500000US31109","Lancaster County, Nebraska","309637","*****"
"0500000US31153","Sarpy County, Nebraska","179023","*****"
"0500000US32003","Clark County, Nevada","2155664","*****"
"0500000US32031","Washoe County, Nevada","453616","*****"
"0500000US33005","Cheshire County, New Hampshire","75774","*****"
"0500000US33009","Grafton County, New Hampshire","88888","*****"
"0500000US33011","Hillsborough County, New Hampshire","407761","*****"
"0500000US33013","Merrimack County, New Hampshire","148582","*****"
"0500000US33015","Rockingham County, New Hampshire","303251","*****"
"0500000US33017","Strafford County, New Hampshire","127428","*****"
"0500000US34001","Atlantic County, New Jersey","270991","*****"
"0500000US34003","Bergen County, New Jersey","939151","*****"
"0500000US34005","Burlington County, New Jersey","449284","*****"
"0500000US34007","Camden County, New Jersey","510150","*****"
"0500000US34009","Cape May County, New Jersey","94430","*****"
"0500000US34011","Cumberland County, New Jersey","153797","*****"
"0500000US34013","Essex County, New Jersey","796914","*****"
"0500000US34015","Gloucester County, New Jersey","292330","*****"
"0500000US34017","Hudson County, New Jersey","677983","*****"
"0500000US34019","Hunterdon County, New Jersey","124676","*****"
"0500000US34021","Mercer County, New Jersey","371023","*****"
"0500000US34023","Middlesex County, New Jersey","837073","*****"
"0500000US34025","Monmouth County, New Jersey","625846","*****"
"0500000US34027","Morris County, New Jersey","498423","*****"
"0500000US34029","Ocean County, New Jersey","592497","*****"
"0500000US34031","Passaic County, New Jersey","507945","*****"
"0500000US34033","Salem County, New Jersey","63436","*****"
"0500000US34035","Somerset County, New Jersey","333751","*****"
"0500000US34037","Sussex County, New Jersey","142522","*****"
"0500000US34039","Union County, New Jersey","555630","*****"
"0500000US34041","Warren County, New Jersey","106617","*****"
"0500000US35001","Bernalillo County, New Mexico","676953","*****"
"0500000US35005","Chaves County, New Mexico","65282","*****"
"0500000US35013","Do?a Ana County, New Mexico","214207","*****"
"0500000US35025","Lea County, New Mexico","69749","*****"
"0500000US35031","McKinley County, New Mexico","74923","*****"
"0500000US35035","Otero County, New Mexico","65410","*****"
"0500000US35043","Sandoval County, New Mexico","142025","*****"
"0500000US35045","San Juan County, New Mexico","115079","*****"
"0500000US35049","Santa Fe County, New Mexico","148651","*****"
"0500000US35061","Valencia County, New Mexico","75626","*****"
"0500000US36001","Albany County, New York","308846","*****"
"0500000US36005","Bronx County, New York","1455720","*****"
"0500000US36007","Broome County, New York","195334","*****"
"0500000US36009","Cattaraugus County, New York","77677","*****"
"0500000US36011","Cayuga County, New York","77861","*****"
"0500000US36013","Chautauqua County, New York","129504","*****"
"0500000US36015","Chemung County, New York","86322","*****"
